subject,wave,phase,valid_session,valid_fullface,emotion,duration,fullface_pct,session_pct
8,6,I,3681.826,104.95800000000003,confusion,0,0,0
8,9,I,3939.6730000000002,282.5139999999997,confusion,0.2719999999999345,9.62784145210272e-4,6.904126306927871e-5
9,6,I,3476.333,32.16499999999999,confusion,0,0,0
9,9,I,3700.066,103.53800000000003,confusion,2.072999999999979,0.020021634568950324,5.602602764383065e-4
10,6,I,3885.011,98.464,confusion,0.2380000000000564,0.002417127071823777,6.126108780645831e-5
10,9,I,3925.748,123.9699999999999,confusion,0,0,0
11,6,I,3733.1330000000003,85.37499999999999,confusion,0,0,0
11,9,I,3593.271,62.649,confusion,0,0,0
12,6,I,3575.184,228.52699999999996,confusion,0,0,0
12,9,I,3537.758,195.35399999999987,confusion,0,0,0
13,6,I,4053.4460000000004,39.20400000000001,confusion,0,0,0
13,9,I,3491.093,75.21199999999993,confusion,0,0,0
14,6,I,3712.7219999999998,330.2320000000001,confusion,0,0,0
14,9,I,3440.649,233.0549999999999,confusion,0,0,0
15,6,I,3359.007,115.58,confusion,0,0,0
15,9,I,3618.118,131.58499999999998,confusion,0,0,0
16,6,I,3499.421,12.274,confusion,0,0,0
16,9,I,3581.6279999999997,5.610000000000001,confusion,0,0,0
17,6,I,3820.4860000000003,108.60399999999997,confusion,0,0,0
17,9,I,3665.206,27.715999999999987,confusion,0,0,0
18,9,I,3246.293,60.25399999999999,confusion,0.6109999999998763,0.010140405616222597,1.882146805602194e-4
19,6,I,3619.028,153.81599999999997,confusion,0,0,0
19,9,I,3689.766,214.93200000000002,confusion,0,0,0
20,6,I,3690.439,115.885,confusion,0,0,0
20,9,I,3693.8399999999997,83.37099999999998,confusion,0,0,0
21,6,I,3755.471,25.535,confusion,0,0,0
21,9,I,3559.206,26.331,confusion,0,0,0
22,6,I,3611.481,31.757999999999996,confusion,0,0,0
22,9,I,3738.711,39.64699999999999,confusion,0,0,0
23,6,I,3599.646,3.4330000000000003,confusion,0,0,0
23,9,I,3412.6870000000004,52.70599999999996,confusion,0,0,0
25,6,I,3793.85,60.15099999999998,confusion,0,0,0
25,9,I,3656.924,171.27800000000013,confusion,0,0,0
26,6,I,3775.9120000000003,337.1169999999998,confusion,0,0,0
26,9,I,3609.636,232.0199999999999,confusion,0,0,0
27,6,I,3682.202,308.31399999999985,confusion,2.3109999999995807,0.007495605129833812,6.276135855663487e-4
27,9,I,3666.548,350.2899999999997,confusion,0,0,0
28,6,I,3434.227,302.9060000000001,confusion,0,0,0
28,9,I,3632.659,57.633999999999986,confusion,0,0,0
29,6,I,3405.236,39.848,confusion,0,0,0
30,6,I,4089.7169999999996,73.41499999999998,confusion,0,0,0
30,9,I,3671.1569999999997,11.594000000000001,confusion,0,0,0
31,6,I,3659.9,229.47200000000007,confusion,0,0,0
31,9,I,3557.991,76.95000000000005,confusion,0,0,0
32,6,I,3628.043,169.9029999999999,confusion,0,0,0
32,9,I,3639.3610000000003,65.184,confusion,0,0,0
33,6,I,3722.996,331.418,confusion,0,0,0
34,6,I,3679.479,4.997999999999999,confusion,0,0,0
34,9,I,3527.8459999999995,26.555,confusion,0,0,0
35,6,I,3616.891,66.849,confusion,0,0,0
35,9,I,3682.44,91.67800000000003,confusion,0,0,0
36,6,I,3637.3549999999996,149.94400000000002,confusion,0,0,0
36,9,I,3501.04,19.415,confusion,0,0,0
37,6,I,3595.044,50.118,confusion,0,0,0
37,9,I,3526.086,80.11300000000004,confusion,0,0,0
38,6,I,3550.0119999999997,52.023999999999994,confusion,0,0,0
39,6,I,3683.569,15.782000000000002,confusion,0,0,0
39,9,I,3648.278,20.031,confusion,0,0,0
40,6,I,3589.391,32.43800000000001,confusion,0,0,0
40,9,I,3910.643,95.85699999999997,confusion,0,0,0
41,6,I,3715.4260000000004,86.81000000000002,confusion,0,0,0
41,9,I,3398.482,240.57299999999998,confusion,0,0,0
42,6,I,3708.903,184.191,confusion,0,0,0
42,9,I,3390.012,216.4119999999998,confusion,0,0,0
43,6,I,3418.466,54.07000000000001,confusion,0,0,0
43,9,I,3680.8450000000003,337.17399999999986,confusion,0.7130000000003065,0.0021146351735314905,0.00019370552142247404
44,6,I,3517.447,142.24099999999993,confusion,0,0,0
44,9,I,3696.429,127.58499999999998,confusion,0.17000000000007276,0.001332445036642809,4.599033283205839e-5
45,6,I,3436.013,32.690000000000005,confusion,0,0,0
45,9,I,3073.414,46.629000000000026,confusion,0,0,0
46,6,I,3855.081,62.26700000000001,confusion,0,0,0
46,9,I,3559.7400000000002,74.47999999999992,confusion,0,0,0
1,6,I,3458.372,170.93,contempt,0,0,0
1,9,I,3278.1730000000002,117.07300000000001,contempt,0,0,0
2,6,I,2922.848,74.634,contempt,0,0,0
2,9,I,3643.985,85.61500000000001,contempt,0,0,0
3,6,I,3770.566,10.777999999999999,contempt,0,0,0
3,9,I,3602.953,124.588,contempt,0,0,0
4,6,I,3534.788,234.61199999999994,contempt,0,0,0
4,9,I,3309.945,74.94199999999998,contempt,0,0,0
6,6,I,3298.481,41.583000000000006,contempt,0,0,0
6,9,I,3589.831,60.65500000000003,contempt,0,0,0
7,6,I,3124.276,36.857000000000006,contempt,0,0,0
7,9,I,3527.97,136.07500000000002,contempt,0,0,0
8,6,I,3681.826,104.95800000000003,contempt,0,0,0
8,9,I,3939.6730000000002,282.5139999999997,contempt,0,0,0
9,6,I,3476.333,32.16499999999999,contempt,0,0,0
9,9,I,3700.066,103.53800000000003,contempt,0,0,0
10,6,I,3885.011,98.464,contempt,0,0,0
10,9,I,3925.748,123.9699999999999,contempt,0,0,0
11,6,I,3733.1330000000003,85.37499999999999,contempt,0,0,0
11,9,I,3593.271,62.649,contempt,0,0,0
12,6,I,3575.184,228.52699999999996,contempt,0,0,0
12,9,I,3537.758,195.35399999999987,contempt,0,0,0
13,6,I,4053.4460000000004,39.20400000000001,contempt,0,0,0
13,9,I,3491.093,75.21199999999993,contempt,0,0,0
14,6,I,3712.7219999999998,330.2320000000001,contempt,0,0,0
14,9,I,3440.649,233.0549999999999,contempt,0,0,0
15,6,I,3359.007,115.58,contempt,0,0,0
15,9,I,3618.118,131.58499999999998,contempt,0,0,0
16,6,I,3499.421,12.274,contempt,0,0,0
16,9,I,3581.6279999999997,5.610000000000001,contempt,0,0,0
17,6,I,3820.4860000000003,108.60399999999997,contempt,0,0,0
17,9,I,3665.206,27.715999999999987,contempt,0,0,0
18,9,I,3246.293,60.25399999999999,contempt,0,0,0
19,6,I,3619.028,153.81599999999997,contempt,0,0,0
19,9,I,3689.766,214.93200000000002,contempt,0,0,0
20,6,I,3690.439,115.885,contempt,0,0,0
20,9,I,3693.8399999999997,83.37099999999998,contempt,0,0,0
21,6,I,3755.471,25.535,contempt,0,0,0
21,9,I,3559.206,26.331,contempt,0,0,0
22,6,I,3611.481,31.757999999999996,contempt,0,0,0
22,9,I,3738.711,39.64699999999999,contempt,0,0,0
23,6,I,3599.646,3.4330000000000003,contempt,0,0,0
23,9,I,3412.6870000000004,52.70599999999996,contempt,0,0,0
25,6,I,3793.85,60.15099999999998,contempt,0,0,0
25,9,I,3656.924,171.27800000000013,contempt,0,0,0
26,6,I,3775.9120000000003,337.1169999999998,contempt,0,0,0
26,9,I,3609.636,232.0199999999999,contempt,0,0,0
27,6,I,3682.202,308.31399999999985,contempt,0.16899999999998272,5.481424781228968e-4,4.589645000463927e-5
27,9,I,3666.548,350.2899999999997,contempt,0,0,0
28,6,I,3434.227,302.9060000000001,contempt,0,0,0
28,9,I,3632.659,57.633999999999986,contempt,0.61200000000008,0.010618731998474514,1.6847163468965295e-4
29,6,I,3405.236,39.848,contempt,0,0,0
30,6,I,4089.7169999999996,73.41499999999998,contempt,0,0,0
30,9,I,3671.1569999999997,11.594000000000001,contempt,0,0,0
31,6,I,3659.9,229.47200000000007,contempt,0,0,0
31,9,I,3557.991,76.95000000000005,contempt,0,0,0
32,6,I,3628.043,169.9029999999999,contempt,0,0,0
32,9,I,3639.3610000000003,65.184,contempt,0,0,0
33,6,I,3722.996,331.418,contempt,0,0,0
34,6,I,3679.479,4.997999999999999,contempt,0,0,0
34,9,I,3527.8459999999995,26.555,contempt,0,0,0
35,6,I,3616.891,66.849,contempt,0,0,0
35,9,I,3682.44,91.67800000000003,contempt,0,0,0
36,6,I,3637.3549999999996,149.94400000000002,contempt,0,0,0
36,9,I,3501.04,19.415,contempt,0,0,0
37,6,I,3595.044,50.118,contempt,0,0,0
37,9,I,3526.086,80.11300000000004,contempt,0,0,0
38,6,I,3550.0119999999997,52.023999999999994,contempt,0,0,0
39,6,I,3683.569,15.782000000000002,contempt,0,0,0
39,9,I,3648.278,20.031,contempt,0,0,0
40,6,I,3589.391,32.43800000000001,contempt,0,0,0
40,9,I,3910.643,95.85699999999997,contempt,0,0,0
41,6,I,3715.4260000000004,86.81000000000002,contempt,0,0,0
41,9,I,3398.482,240.57299999999998,contempt,0,0,0
42,6,I,3708.903,184.191,contempt,0,0,0
42,9,I,3390.012,216.4119999999998,contempt,0,0,0
43,6,I,3418.466,54.07000000000001,contempt,0,0,0
43,9,I,3680.8450000000003,337.17399999999986,contempt,0,0,0
44,6,I,3517.447,142.24099999999993,contempt,0,0,0
44,9,I,3696.429,127.58499999999998,contempt,0,0,0
45,6,I,3436.013,32.690000000000005,contempt,0,0,0
45,9,I,3073.414,46.629000000000026,contempt,0,0,0
46,6,I,3855.081,62.26700000000001,contempt,0,0,0
46,9,I,3559.7400000000002,74.47999999999992,contempt,0,0,0
1,6,I,3458.372,170.93,contentment,11.27999999999895,0.06599192651962177,0.003261650279379705
1,9,I,3278.1730000000002,117.07300000000001,contentment,6.354999999999848,0.054282370828456154,0.0019385798125967871
2,6,I,2922.848,74.634,contentment,0.5430000000000064,0.00727550446177354,1.8577770722254675e-4
2,9,I,3643.985,85.61500000000001,contentment,7.543000000000504,0.08810372014250427,0.002069986566904228
3,6,I,3770.566,10.777999999999999,contentment,1.0539999999999168,0.09779179810724781,2.7953362969907353e-4
3,9,I,3602.953,124.588,contentment,24.063000000000216,0.1931405913892206,0.00667868828708013
4,6,I,3534.788,234.61199999999994,contentment,65.67400000000038,0.2799260054899169,0.018579332056123415
4,9,I,3309.945,74.94199999999998,contentment,8.598000000000155,0.11472872354621118,0.0025976262445448956
6,6,I,3298.481,41.583000000000006,contentment,2.038000000000011,0.049010412909121774,6.178601604799333e-4
6,9,I,3589.831,60.65500000000003,contentment,8.326999999999977,0.13728464265105883,0.0023196078032642698
7,6,I,3124.276,36.857000000000006,contentment,1.7680000000003702,0.04796917817511924,5.658911056514759e-4
7,9,I,3527.97,136.07500000000002,contentment,25.052000000000476,0.18410435421642823,0.007100967411854544
8,6,I,3681.826,104.95800000000003,contentment,2.5150000000003274,0.023961965738679536,6.830849692517592e-4
8,9,I,3939.6730000000002,282.5139999999997,contentment,7.713000000000193,0.0273013018823853,0.0019577766987260597
9,6,I,3476.333,32.16499999999999,contentment,0.20400000000017826,0.006342297528374889,5.8682525523354134e-5
9,9,I,3700.066,103.53800000000003,contentment,1.8010000000001583,0.017394579767816238,4.8674807422358367e-4
10,6,I,3885.011,98.464,contentment,12.503000000000213,0.1269804192395212,0.003218266306067142
10,9,I,3925.748,123.9699999999999,contentment,13.051000000000272,0.10527546987174544,0.003324461987881105
11,6,I,3733.1330000000003,85.37499999999999,contentment,7.310000000000215,0.08562225475842128,0.0019581407895192093
11,9,I,3593.271,62.649,contentment,10.503999999999621,0.1676642883365995,0.002923241803916159
12,6,I,3575.184,228.52699999999996,contentment,63.0589999999998,0.27593676020776453,0.017637973318296286
12,9,I,3537.758,195.35399999999987,contentment,17.47399999999965,0.08944787411570615,0.004939286406814613
13,6,I,4053.4460000000004,39.20400000000001,contentment,3.7729999999996835,0.09624017957350481,9.308129428638455e-4
13,9,I,3491.093,75.21199999999993,contentment,1.4279999999998836,0.0189863319683014,4.090409507852938e-4
14,6,I,3712.7219999999998,330.2320000000001,contentment,15.637,0.04735155890404321,0.004211734678761297
14,9,I,3440.649,233.0549999999999,contentment,19.10000000000008,0.08195490334899524,0.005551278261746572
