occ,n_aus,n_events,n_subjects,n_faces,duration,fullface_pct,session_pct,best_dice,best_status,best_match,band
1+5+17,3,3,2,2,2.277,2.3965863012095348e-4,7.534914101615236e-6,0.6666666666666666,complete,"fear, sadness, surprise, sympathy",moderate (0.4-0.7)
1+2+5+8+12,5,4,2,2,2.275,2.394481262736799e-4,7.528295819576047e-6,0.75,complete,"fear, interest, surprise",strong (>=0.7)
9+12,2,5,5,5,2.243,2.3608006471730286e-4,7.422403306949044e-6,0.6666666666666666,complete,"contentment, disgust, happiness",moderate (0.4-0.7)
5+24,2,7,6,6,2.206,2.3218574354274193e-4,7.299965089224071e-6,0.8,complete,anger,strong (>=0.7)
4+12+14,3,2,2,2,2.175,2.2892293391000166e-4,7.197381717616661e-6,0.8,complete,contempt,strong (>=0.7)
1+2+17+18,4,5,4,5,2.174,2.2881768198636487e-4,7.194072576597067e-6,0.5714285714285714,complete,"fear, interest, sadness, surprise, sympathy",moderate (0.4-0.7)
4+15+17,3,7,6,6,2.173,2.287124300627281e-4,7.1907634355774735e-6,1,complete,sadness,strong (>=0.7)
1+12+25+26,4,9,8,9,2.169,2.2829142236818097e-4,7.177526871499098e-6,0.8,partial only,awe,strong (>=0.7)
1+2+5+8+25+26,6,4,4,4,2.14,2.252391165827143e-4,7.081561781930876e-6,0.9090909090909091,complete,"fear, surprise",strong (>=0.7)
1+2+34,3,1,1,1,2.108,2.2187105502633725e-4,6.9756692693038724e-06,0.6666666666666666,complete,"fear, interest, surprise",moderate (0.4-0.7)
2+25,2,5,5,5,2.108,2.2187105502633725e-4,6.9756692693038724e-06,0.6666666666666666,complete,"fear, surprise",moderate (0.4-0.7)
4+5+25,3,3,3,3,2.106,2.2166055117906367e-4,6.9690509872646835e-6,0.8571428571428571,complete,anger,strong (>=0.7)
1+2+5+12+25+27,6,3,2,2,2.074,2.1829248962268664e-4,6.86315847463768e-6,1,partial only,awe,strong (>=0.7)
1+2+17+23,4,6,6,6,2.073,2.1818723769904987e-4,6.859849333618087e-6,0.5714285714285714,complete,"fear, interest, sadness, surprise, sympathy",moderate (0.4-0.7)
6+25,2,6,6,6,2.072,2.1808198577541308e-4,6.856540192598493e-6,0.8,complete,"happiness, sadness",strong (>=0.7)
4+20+25+26,4,9,7,7,2.069,2.1776623000450274e-4,6.846612769539711e-6,0.8888888888888888,complete,fear,strong (>=0.7)
1+2+5+12+17,5,3,2,2,2.039,2.1460867229539929e-4,6.747338538951895e-6,0.75,complete,"fear, interest, surprise",strong (>=0.7)
1+4+17,3,6,4,5,2.038,2.1450342037176247e-4,6.7440293979323e-6,0.8571428571428571,complete,sadness,strong (>=0.7)
7+25,2,5,3,3,2.0060000000000002,2.1113535881538546e-4,6.6381368853052985e-6,0.6666666666666666,complete,"anger, coyness, desire, embarrassment",moderate (0.4-0.7)
4+6+12+25,4,4,4,4,2.0060000000000002,2.1113535881538546e-4,6.6381368853052985e-6,0.8571428571428571,complete,happiness,strong (>=0.7)
1+2+12+17+25,5,2,2,2,2.006,2.1113535881538543e-4,6.638136885305297e-6,0.75,complete,interest,strong (>=0.7)
1+4+14+17,4,6,3,3,2.006,2.1113535881538543e-4,6.638136885305297e-6,0.75,complete,sadness,strong (>=0.7)
4+6+15+17,4,2,1,1,2.006,2.1113535881538543e-4,6.638136885305297e-6,1,complete,sadness,strong (>=0.7)
4+5+23,3,4,3,3,2.003,2.1081960304447512e-4,6.628209462246516e-6,1,complete,anger,strong (>=0.7)
4+7+24,3,1,1,1,1.971,2.0745154148809808e-4,6.522316949619512e-6,1,complete,anger,strong (>=0.7)
1+4+18,3,5,3,3,1.968,2.071357857171877e-4,6.512389526560731e-6,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
5+12+17,3,1,1,1,1.938,2.0397822800808423e-4,6.4131152959729145e-6,0.5714285714285714,complete,anger,moderate (0.4-0.7)
4+5+24,3,4,2,2,1.9340000000000002,2.0355722031353712e-4,6.399878731894539e-6,1,complete,anger,strong (>=0.7)
6+18+25,3,3,2,2,1.87,1.9682109720078306e-4,6.188093706640532e-6,0.6666666666666666,complete,"happiness, sadness",moderate (0.4-0.7)
16+25+26,3,3,2,2,1.834,1.930320279498589e-4,6.0689646299351525e-6,0.8571428571428571,complete,disgust,strong (>=0.7)
4+18+25+26,4,5,5,5,1.7990000000000002,1.893482106225715e-4,5.953144694249368e-6,0.75,partial only,relief,strong (>=0.7)
1+2+7+18+25,5,2,2,2,1.77,1.862959048371048e-4,5.857179604681145e-6,0.7272727272727273,complete,fear,strong (>=0.7)
2+7+9+12+16,5,1,1,1,1.768,1.8608540098983124e-4,5.850561322641957e-6,0.5714285714285714,partial only,pride,moderate (0.4-0.7)
1+2+12+24,4,3,3,3,1.766,1.858748971425577e-4,5.843943040602769e-6,0.8571428571428571,complete,interest,strong (>=0.7)
11,1,1,1,1,1.734,1.8250683558618063e-4,5.738050527975766e-6,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
1+2+17+20,4,2,2,2,1.734,1.8250683558618063e-4,5.738050527975766e-6,0.6666666666666666,complete,fear,moderate (0.4-0.7)
2+25+26,3,2,2,2,1.733,1.8240158366254386e-4,5.734741386956172e-6,0.8571428571428571,complete,surprise,strong (>=0.7)
12+20,2,5,4,4,1.733,1.8240158366254386e-4,5.734741386956172e-6,0.6666666666666666,complete,"contentment, happiness",moderate (0.4-0.7)
4+22,2,2,2,2,1.7000000000000002,1.7892827018253007e-4,5.625539733309575e-6,0.6666666666666666,partial only,sadness,moderate (0.4-0.7)
32,1,3,3,3,1.7,1.7892827018253004e-4,5.625539733309574e-6,0,NA,NA,none (<0.2)
4+17+25+32,4,1,1,1,1.7,1.7892827018253004e-4,5.625539733309574e-6,0.6666666666666666,complete,"sadness, shame",moderate (0.4-0.7)
6+20,2,4,1,1,1.666,1.7534970477887943e-4,5.513028938643383e-6,0.5714285714285714,partial only,pain,moderate (0.4-0.7)
6+9+25,3,3,2,3,1.665,1.7524445285524266e-4,5.509719797623789e-6,0.8,complete,disgust,strong (>=0.7)
4+7+12+25,4,2,1,1,1.6320000000000001,1.7177113937522884e-4,5.400518143977192e-6,0.75,complete,"anger, coyness, desire, embarrassment",strong (>=0.7)
1+20+25+26,4,3,1,1,1.632,1.7177113937522884e-4,5.400518143977191e-6,0.8888888888888888,complete,fear,strong (>=0.7)
1+2+5+15+25+26,6,1,1,1,1.631,1.7166588745159205e-4,5.397209002957597e-6,0.9090909090909091,complete,"fear, surprise",strong (>=0.7)
12+18,2,8,6,6,1.627,1.7124487975704494e-4,5.383972438879222e-6,0.6666666666666666,complete,"contentment, happiness, relief",moderate (0.4-0.7)
9+20+25+26,4,1,1,1,1.598,1.6819257397157825e-4,5.288007349311e-6,0.8571428571428571,complete,disgust,strong (>=0.7)
6+12+17+25+32,5,2,2,2,1.597,1.6808732204794146e-4,5.2846982082914054e-6,0.75,complete,happiness,strong (>=0.7)
1+6,2,3,3,3,1.597,1.6808732204794146e-4,5.2846982082914054e-6,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
1+2+17+20+25+26,6,3,3,3,1.596,1.6798207012430467e-4,5.281389067271812e-6,0.8333333333333334,complete,fear,strong (>=0.7)
4+12+17+25+26,5,3,3,3,1.596,1.6798207012430467e-4,5.281389067271812e-6,0.7272727272727273,complete,sadness,strong (>=0.7)
1+5+7+17,4,1,1,1,1.564,1.6461400856792764e-4,5.175496554644809e-6,0.75,complete,anger,strong (>=0.7)
1+2+5+12+19+25+26,7,3,3,3,1.563,1.6450875664429085e-4,5.172187413625214e-6,0.9230769230769231,partial only,awe,strong (>=0.7)
1+2+5+12+20,5,1,1,1,1.563,1.6450875664429085e-4,5.172187413625214e-6,0.8,complete,fear,strong (>=0.7)
22+25+26,3,8,4,4,1.562,1.6440350472065408e-4,5.168878272605621e-6,0.8,partial only,sympathy,strong (>=0.7)
5+18+25+26,4,4,4,4,1.561,1.642982527970173e-4,5.165569131586027e-6,0.75,complete,"fear, relief",strong (>=0.7)
4+6+20+25,4,3,3,3,1.528,1.6082493931700347e-4,5.056367477939429e-6,0.8888888888888888,partial only,pain,strong (>=0.7)
2+18+25,3,5,2,3,1.528,1.6082493931700347e-4,5.056367477939429e-6,0.5714285714285714,complete,"fear, relief, surprise",moderate (0.4-0.7)
1+18+25,3,4,4,4,1.528,1.6082493931700347e-4,5.056367477939429e-6,0.5714285714285714,complete,"fear, relief, sadness, surprise",moderate (0.4-0.7)
1+2+4+25,4,4,3,3,1.527,1.6071968739336668e-4,5.053058336919835e-6,0.8888888888888888,complete,fear,strong (>=0.7)
7+18,2,4,2,2,1.527,1.6071968739336668e-4,5.053058336919835e-6,0.5,complete,"anger, confusion, pride",moderate (0.4-0.7)
12+15,2,5,3,3,1.495,1.5735162583698967e-4,4.9471658242928315e-6,0.8,partial only,embarrassment,strong (>=0.7)
6+17,2,2,2,2,1.4620000000000002,1.5387831235697585e-4,4.837964170646234e-6,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
2+14,2,2,2,2,1.462,1.5387831235697582e-4,4.837964170646234e-6,0.5,complete,contempt,moderate (0.4-0.7)
1+2+5+10,4,3,3,3,1.46,1.5366780850970227e-4,4.831345888607046e-6,0.8571428571428571,complete,"fear, surprise",strong (>=0.7)
6+12+20+25,4,4,4,4,1.459,1.535625565860655e-4,4.828036747587453e-6,0.8571428571428571,complete,happiness,strong (>=0.7)
4+7+25+26,4,2,2,2,1.4280000000000002,1.5029974695332526e-4,4.725453375980042e-6,0.8888888888888888,complete,anger,strong (>=0.7)
5+17+24,3,4,4,4,1.427,1.5019449502968844e-4,4.722144234960448e-6,0.8571428571428571,complete,anger,strong (>=0.7)
1+2+5+17+25+33,6,2,1,1,1.427,1.5019449502968844e-4,4.722144234960448e-6,0.8,complete,fear,strong (>=0.7)
6+12+15+26,4,1,1,1,1.427,1.5019449502968844e-4,4.722144234960448e-6,0.8571428571428571,complete,sadness,strong (>=0.7)
2+20+25,3,1,1,1,1.427,1.5019449502968844e-4,4.722144234960448e-6,0.75,complete,fear,strong (>=0.7)
17+18+25,3,5,5,5,1.426,1.5008924310605165e-4,4.718835093940854e-6,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
4+17+20,3,5,4,5,1.425,1.499839911824149e-4,4.715525952921261e-6,0.8,partial only,shame,strong (>=0.7)
4+6+25+26,4,3,2,3,1.425,1.499839911824149e-4,4.715525952921261e-6,0.75,complete,sadness,strong (>=0.7)
1+2+25+27,4,2,1,1,1.394,1.4672118154967462e-4,4.612942581313851e-6,0.8888888888888888,complete,"fear, surprise",strong (>=0.7)
4+6+7+12+25,5,1,1,1,1.394,1.4672118154967462e-4,4.612942581313851e-6,0.8888888888888888,complete,"coyness, desire, embarrassment",strong (>=0.7)
6+20+25,3,4,4,4,1.393,1.4661592962603786e-4,4.609633440294257e-6,0.75,partial only,pain,strong (>=0.7)
1+2+4+12+25,5,4,4,4,1.393,1.4661592962603786e-4,4.609633440294257e-6,0.8,complete,fear,strong (>=0.7)
12+18+25+26,4,4,3,3,1.392,1.4651067770240107e-4,4.606324299274663e-6,1,partial only,relief,strong (>=0.7)
1+2+5+17+18,5,2,2,2,1.359,1.4303736422238724e-4,4.497122645628065e-6,0.75,complete,"fear, surprise",strong (>=0.7)
18+26+36,3,2,1,1,1.351,1.42195348833293e-4,4.4706495174713145e-6,0.5714285714285714,partial only,relief,moderate (0.4-0.7)
1+12+17,3,2,1,1,1.326,1.3956405074237345e-4,4.387920991981468e-6,0.6666666666666666,complete,"interest, sadness, sympathy",moderate (0.4-0.7)
12+14+17,3,1,1,1,1.325,1.3945879881873665e-4,4.384611850961874e-6,0.8,complete,contempt,strong (>=0.7)
2+18,2,2,2,2,1.325,1.3945879881873665e-4,4.384611850961874e-6,0.4,complete,"fear, interest, surprise",moderate (0.4-0.7)
1+4+19+25+26,5,3,2,2,1.325,1.3945879881873665e-4,4.384611850961874e-6,0.8,complete,"fear, sadness",strong (>=0.7)
1+2+5+19+25+26+33,7,3,1,1,1.292,1.3598548533872283e-4,4.275410197315276e-6,0.8333333333333334,complete,"fear, surprise",strong (>=0.7)
1+22+25,3,2,2,2,1.292,1.3598548533872283e-4,4.275410197315276e-6,0.5714285714285714,complete,"fear, sadness, surprise",moderate (0.4-0.7)
4+7+12,3,2,2,2,1.292,1.3598548533872283e-4,4.275410197315276e-6,0.8,complete,"anger, confusion, pride",strong (>=0.7)
16+20+25,3,2,2,2,1.2910000000000001,1.3588023341508607e-4,4.272101056295683e-6,0.6666666666666666,complete,"disgust, fear",moderate (0.4-0.7)
4+23+25,3,4,2,3,1.258,1.3240691993507224e-4,4.1628994026490845e-6,0.8571428571428571,complete,anger,strong (>=0.7)
25+32,2,3,3,3,1.2570000000000001,1.3230166801143545e-4,4.159590261629491e-6,0.5,complete,"disgust, happiness, sympathy",moderate (0.4-0.7)
4+12+16+20+25,5,1,1,1,1.257,1.3230166801143543e-4,4.15959026162949e-6,0.6666666666666666,complete,fear,moderate (0.4-0.7)
4+17+18+23,4,1,1,1,1.257,1.3230166801143543e-4,4.15959026162949e-6,0.75,complete,anger,strong (>=0.7)
5+8+25+26,4,3,1,1,1.256,1.3219641608779866e-4,4.156281120609897e-6,0.75,complete,fear,strong (>=0.7)
5+14,2,4,3,4,1.256,1.3219641608779866e-4,4.156281120609897e-6,0.5,complete,"contempt, fear, surprise",moderate (0.4-0.7)
1+2+12+18+25,5,6,4,4,1.223,1.2872310260778487e-4,4.0470794669633e-6,0.75,complete,interest,strong (>=0.7)
1+4+18+25,4,4,3,3,1.223,1.2872310260778487e-4,4.0470794669633e-6,0.75,complete,"fear, sadness",strong (>=0.7)
6+18+25+26+30,5,1,1,1,1.223,1.2872310260778487e-4,4.0470794669633e-6,0.6666666666666666,complete,"relief, sadness",moderate (0.4-0.7)
1+2+5+15,4,4,4,4,1.223,1.2872310260778487e-4,4.0470794669633e-6,0.8571428571428571,complete,"fear, surprise",strong (>=0.7)
1+2+5+12+17+25+26+32,8,2,2,2,1.223,1.2872310260778487e-4,4.0470794669633e-6,0.8571428571428571,partial only,awe,strong (>=0.7)
4+14+19+25+26,5,2,2,2,1.222,1.2861785068414807e-4,4.043770325943706e-6,0.75,complete,"contempt, desire",strong (>=0.7)
1+2+6,3,2,2,2,1.196,1.258813006695917e-4,3.957732659434265e-6,0.6666666666666666,complete,"fear, interest, surprise",moderate (0.4-0.7)
5+8+12+25+26,5,1,1,1,1.19,1.2524978912777101e-4,3.937877813316702e-6,0.7272727272727273,partial only,awe,strong (>=0.7)
6+12+16+25,4,3,3,3,1.155,1.2156597180048365e-4,3.8220578776309165e-6,0.8571428571428571,complete,happiness,strong (>=0.7)
5+18,2,4,4,4,1.155,1.2156597180048365e-4,3.8220578776309165e-6,0.5,complete,"fear, surprise",moderate (0.4-0.7)
1+2+5+17+24,5,3,3,3,1.154,1.2146071987684686e-4,3.8187487366113225e-6,0.75,complete,"fear, surprise, sympathy",strong (>=0.7)
6+9+12,3,1,1,1,1.122,1.1809265832046984e-4,3.7128562239843194e-6,0.8,complete,happiness,strong (>=0.7)
1+4+17+18,4,1,1,1,1.122,1.1809265832046984e-4,3.7128562239843194e-6,0.75,complete,sadness,strong (>=0.7)
12+17+19+25+26,5,3,3,3,1.121,1.1798740639683305e-4,3.709547082964725e-6,0.75,partial only,desire,strong (>=0.7)
1+2+20+23,4,1,1,1,1.121,1.1798740639683305e-4,3.709547082964725e-6,0.6666666666666666,complete,fear,moderate (0.4-0.7)
4+6+7+12+25+26,6,2,1,1,1.121,1.1798740639683305e-4,3.709547082964725e-6,0.9090909090909091,complete,"amusement, coyness, happiness, triumph",strong (>=0.7)
33,1,4,2,2,1.12,1.1788215447319627e-4,3.7062379419451317e-6,0,NA,NA,none (<0.2)
18+26,2,5,3,3,1.088,1.1451409291681924e-4,3.600345429318128e-6,0.6666666666666666,partial only,relief,moderate (0.4-0.7)
6+17+25,3,1,1,1,1.088,1.1451409291681924e-4,3.600345429318128e-6,0.6666666666666666,complete,"happiness, sadness",moderate (0.4-0.7)
1+2+5+14+25+26+32,7,1,1,1,1.088,1.1451409291681924e-4,3.600345429318128e-6,0.8333333333333334,complete,"fear, surprise",strong (>=0.7)
4+15+24,3,2,2,2,1.087,1.1440884099318244e-4,3.5970362882985333e-6,0.8,complete,sadness,strong (>=0.7)
9+23,2,1,1,1,1.087,1.1440884099318244e-4,3.5970362882985333e-6,0.6666666666666666,complete,disgust,moderate (0.4-0.7)
15+25+26,3,5,5,5,1.087,1.1440884099318244e-4,3.5970362882985333e-6,0.8571428571428571,complete,sadness,strong (>=0.7)
1+4+5+25,4,2,1,1,1.087,1.1440884099318244e-4,3.5970362882985333e-6,0.8888888888888888,complete,fear,strong (>=0.7)
5+12+20+25+26,5,2,2,2,1.086,1.1430358906954567e-4,3.59372714727894e-6,0.8888888888888888,complete,fear,strong (>=0.7)
1+15+17,3,5,5,5,1.085,1.1419833714590888e-4,3.5904180062593457e-6,1,complete,sadness,strong (>=0.7)
1+4+6,3,3,3,3,1.054,1.1093552751316863e-4,3.4878346346519362e-06,0.8571428571428571,complete,sadness,strong (>=0.7)
12+16+25+26,4,1,1,1,1.054,1.1093552751316863e-4,3.4878346346519362e-06,0.8,complete,"amusement, happiness",strong (>=0.7)
2+4,2,2,2,2,1.054,1.1093552751316863e-4,3.4878346346519362e-06,0.6666666666666666,complete,"fear, sadness",moderate (0.4-0.7)
1+2+6+13,4,1,1,1,1.054,1.1093552751316863e-4,3.4878346346519362e-06,0.5714285714285714,complete,"fear, interest, surprise",moderate (0.4-0.7)
1+2+5+12+15+26,6,1,1,1,1.054,1.1093552751316863e-4,3.4878346346519362e-06,0.8333333333333334,partial only,awe,strong (>=0.7)
1+2+15+25+26,5,3,2,2,1.053,1.1083027558953183e-4,3.4845254936323417e-6,0.8888888888888888,complete,surprise,strong (>=0.7)
1+2+5+20+25,5,4,4,4,1.052,1.1072502366589507e-4,3.4812163526127485e-6,0.9090909090909091,complete,fear,strong (>=0.7)
1+2+7+10,4,1,1,1,1.02,1.0735696210951802e-4,3.3753238399857446e-6,0.6,complete,fear,moderate (0.4-0.7)
1+2+22+25,4,3,2,2,1.02,1.0735696210951802e-4,3.3753238399857446e-6,0.75,complete,"fear, surprise",strong (>=0.7)
1+4+10,3,1,1,1,1.019,1.0725171018588123e-4,3.37201469896615e-6,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
2+12+25+26,4,2,2,2,1.018,1.0714645826224446e-4,3.368705557946557e-6,0.8,partial only,awe,strong (>=0.7)
1+4+17+24,4,2,2,2,0.986,1.0377839670586742e-4,3.262813045319553e-6,0.8571428571428571,partial only,sympathy,strong (>=0.7)
1+2+7+25+26,5,3,2,2,0.986,1.0377839670586742e-4,3.262813045319553e-6,0.9090909090909091,complete,fear,strong (>=0.7)
5+17+23,3,2,2,2,0.9850000000000001,1.0367314478223065e-4,3.2595039042999594e-6,0.8571428571428571,complete,anger,strong (>=0.7)
1+4+20+25+26,5,2,2,2,0.985,1.0367314478223063e-4,3.259503904299959e-6,1,complete,fear,strong (>=0.7)
10+12,2,2,2,2,0.985,1.0367314478223063e-4,3.259503904299959e-6,0.6666666666666666,complete,"contentment, disgust, happiness",moderate (0.4-0.7)
4+6+20,3,3,3,3,0.984,1.0356789285859386e-4,3.2561947632803654e-6,0.75,partial only,pain,strong (>=0.7)
15+17+23,3,2,2,2,0.952,1.0019983130221682e-4,3.1503022506533615e-6,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
4+12+17+25,4,3,2,2,0.952,1.0019983130221682e-4,3.1503022506533615e-6,0.6666666666666666,complete,"happiness, sadness, shame",moderate (0.4-0.7)
10+20+25,3,2,2,2,0.952,1.0019983130221682e-4,3.1503022506533615e-6,0.8,complete,disgust,strong (>=0.7)
1+2+25+26+36,5,1,1,1,0.952,1.0019983130221682e-4,3.1503022506533615e-6,0.8888888888888888,complete,surprise,strong (>=0.7)
1+4+6+12,4,3,1,1,0.9510000000000001,1.0009457937858005e-4,3.146993109633768e-6,0.75,complete,sadness,strong (>=0.7)
4+17+32,3,1,1,1,0.951,1.0009457937858003e-4,3.1469931096337674e-6,0.8,partial only,shame,strong (>=0.7)
1+2+4+17+20+25,6,1,1,1,0.951,1.0009457937858003e-4,3.1469931096337674e-6,0.9090909090909091,complete,fear,strong (>=0.7)
4+5+25+26,4,3,3,3,0.951,1.0009457937858003e-4,3.1469931096337674e-6,0.8888888888888888,complete,anger,strong (>=0.7)
1+4+5+6+20+25,6,1,1,1,0.951,1.0009457937858003e-4,3.1469931096337674e-6,0.9090909090909091,complete,fear,strong (>=0.7)
12+25+26+36,4,1,1,1,0.951,1.0009457937858003e-4,3.1469931096337674e-6,0.75,complete,"desire, relief",strong (>=0.7)
1+2+10+25+26,5,3,3,3,0.95,9.998932745494325e-5,3.1436839686141738e-6,0.8888888888888888,complete,surprise,strong (>=0.7)
1+2+12+20+25+26,6,2,2,2,0.95,9.998932745494325e-5,3.1436839686141738e-6,0.8333333333333334,complete,"awe, fear",strong (>=0.7)
4+7+20+25,4,2,2,2,0.918,9.662126589856622e-5,3.0377914559871703e-6,0.8888888888888888,partial only,pain,strong (>=0.7)
1+2+5+24+30,5,1,1,1,0.918,9.662126589856622e-5,3.0377914559871703e-6,0.75,complete,"fear, surprise",strong (>=0.7)
6+10+16+25,4,2,2,2,0.9179999999999999,9.662126589856621e-5,3.03779145598717e-6,0.8571428571428571,complete,disgust,strong (>=0.7)
2+8+25+26,4,2,2,2,0.917,9.651601397492944e-5,3.0344823149675762e-6,0.75,complete,surprise,strong (>=0.7)
1+2+5+8+12+25+26,7,4,2,2,0.917,9.651601397492944e-5,3.0344823149675762e-6,0.9230769230769231,partial only,awe,strong (>=0.7)
5+17+33,3,2,2,2,0.917,9.651601397492944e-5,3.0344823149675762e-6,0.5714285714285714,complete,anger,moderate (0.4-0.7)
1+2+5+12+20+25,6,1,1,1,0.917,9.651601397492944e-5,3.0344823149675762e-6,0.8333333333333334,complete,"awe, fear",strong (>=0.7)
1+2+10+20+25+26,6,1,1,1,0.917,9.651601397492944e-5,3.0344823149675762e-6,0.8333333333333334,complete,fear,strong (>=0.7)
1+4+15+22+25,5,1,1,1,0.917,9.651601397492944e-5,3.0344823149675762e-6,0.8888888888888888,complete,sadness,strong (>=0.7)
1+2+4+18+25,5,3,2,2,0.916,9.641076205129265e-5,3.0311731739479826e-6,0.8,complete,fear,strong (>=0.7)
4+12+18,3,3,3,3,0.915,9.630551012765588e-5,3.0278640329283886e-6,0.5714285714285714,partial only,relief,moderate (0.4-0.7)
4+17+19+25+26,5,7,3,3,0.914,9.62002582040191e-5,3.0245548919087945e-6,0.75,partial only,desire,strong (>=0.7)
14+25+32,3,1,1,1,0.884,9.304270049491562e-5,2.9252806613209787e-6,0.6666666666666666,complete,contempt,moderate (0.4-0.7)
4+6+17+24,4,2,2,2,0.883,9.293744857127884e-5,2.9219715203013847e-6,0.75,complete,"anger, sadness",strong (>=0.7)
4+5+17+19+25+26,6,2,2,2,0.883,9.293744857127884e-5,2.9219715203013847e-6,0.7272727272727273,complete,anger,strong (>=0.7)
5+15+17,3,2,2,2,0.883,9.293744857127884e-5,2.9219715203013847e-6,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
1+4+15+25+26,5,3,3,3,0.882,9.283219664764205e-5,2.918662379281791e-6,1,complete,sadness,strong (>=0.7)
1+5,2,5,2,2,0.881,9.272694472400528e-5,2.915353238262197e-6,0.8,complete,"fear, surprise",strong (>=0.7)
7+24,2,3,2,3,0.87,9.156917356400067e-5,2.878952687046664e-6,0.8,complete,anger,strong (>=0.7)
1+2+5+12+16+25+26,7,2,2,2,0.8500000000000001,8.946413509126503e-5,2.8127698666547875e-6,0.9230769230769231,partial only,awe,strong (>=0.7)
8,1,2,2,2,0.85,8.946413509126502e-5,2.812769866654787e-6,0,NA,NA,none (<0.2)
17+18+19,3,1,1,1,0.85,8.946413509126502e-5,2.812769866654787e-6,0.4,complete,"disgust, sadness, shame",moderate (0.4-0.7)
4+13,2,3,3,3,0.85,8.946413509126502e-5,2.812769866654787e-6,0.6666666666666666,partial only,sadness,moderate (0.4-0.7)
1+7,2,1,1,1,0.85,8.946413509126502e-5,2.812769866654787e-6,0.5,complete,"anger, confusion, fear, pride, sadness",moderate (0.4-0.7)
4+6+12+20+25,5,1,1,1,0.85,8.946413509126502e-5,2.812769866654787e-6,0.8,partial only,pain,strong (>=0.7)
7+12+20+25+26,5,1,1,1,0.85,8.946413509126502e-5,2.812769866654787e-6,0.8888888888888888,complete,desire,strong (>=0.7)
7+25+26,3,3,3,3,0.849,8.935888316762823e-5,2.809460725635193e-6,0.8571428571428571,complete,desire,strong (>=0.7)
4+7+13+17,4,1,1,1,0.849,8.935888316762823e-5,2.809460725635193e-6,0.75,complete,anger,strong (>=0.7)
1+10,2,1,1,1,0.849,8.935888316762823e-5,2.809460725635193e-6,0.6666666666666666,complete,disgust,moderate (0.4-0.7)
1+2+13,3,3,2,2,0.8480000000000001,8.925363124399147e-5,2.8061515846155995e-6,0.6666666666666666,complete,"fear, interest, surprise",moderate (0.4-0.7)
17+25+26,3,3,3,3,0.848,8.925363124399145e-5,2.8061515846155995e-6,0.8571428571428571,complete,sadness,strong (>=0.7)
7+10+25,3,2,2,2,0.8160000000000001,8.588556968761442e-5,2.700259071988596e-6,0.8,complete,disgust,strong (>=0.7)
17+34,2,3,3,3,0.8160000000000001,8.588556968761442e-5,2.700259071988596e-6,0.5,complete,"disgust, sadness, shame",moderate (0.4-0.7)
12+23,2,4,3,3,0.816,8.588556968761442e-5,2.7002590719885955e-6,0.6666666666666666,complete,"contentment, happiness",moderate (0.4-0.7)
6+12+25+26+30,5,1,1,1,0.816,8.588556968761442e-5,2.7002590719885955e-6,0.8,complete,"amusement, coyness, happiness, triumph",strong (>=0.7)
1+2+11+14,4,1,1,1,0.816,8.588556968761442e-5,2.7002590719885955e-6,0.5714285714285714,complete,"fear, interest, sadness, surprise",moderate (0.4-0.7)
1+4+6+20,4,1,1,1,0.815,8.578031776397763e-5,2.6969499309690015e-6,0.75,complete,"fear, sadness",strong (>=0.7)
7+12+25+26,4,4,4,4,0.815,8.578031776397763e-5,2.6969499309690015e-6,1,complete,desire,strong (>=0.7)
1+12+19+25+26,5,3,2,2,0.8140000000000001,8.567506584034087e-5,2.693640789949408e-6,0.75,partial only,desire,strong (>=0.7)
1+2+12+17+25+26,6,3,3,3,0.8140000000000001,8.567506584034087e-5,2.693640789949408e-6,0.8333333333333334,partial only,awe,strong (>=0.7)
1+2+8+12+25+26,6,3,2,2,0.814,8.567506584034085e-5,2.693640789949408e-6,0.8333333333333334,partial only,awe,strong (>=0.7)
12+17+25+26+32,5,2,2,2,0.8049999999999999,8.47277985276098e-5,2.6638585207730627e-6,0.6666666666666666,complete,"desire, relief, sadness",moderate (0.4-0.7)
19+22+25+26,4,1,1,1,0.782,8.230700428396382e-5,2.5877482773224044e-6,0.8571428571428571,partial only,desire,strong (>=0.7)
7+16+25+26,4,1,1,1,0.782,8.230700428396382e-5,2.5877482773224044e-6,0.8,complete,"amusement, happiness",strong (>=0.7)
4+6+10+12+25,5,1,1,1,0.782,8.230700428396382e-5,2.5877482773224044e-6,0.75,complete,happiness,strong (>=0.7)
1+2+5+12+17+25+26,7,1,1,1,0.782,8.230700428396382e-5,2.5877482773224044e-6,0.9230769230769231,partial only,awe,strong (>=0.7)
4+5+20+25,4,1,1,1,0.782,8.230700428396382e-5,2.5877482773224044e-6,0.8888888888888888,complete,fear,strong (>=0.7)
1+2+5+8+25+27,6,1,1,1,0.781,8.220175236032704e-5,2.5844391363028103e-6,0.9090909090909091,complete,"fear, surprise",strong (>=0.7)
