occ,n_aus,n_subjects,n_events,duration,session_pct,fullface_pct,proto,cluster
4+6+12+25,4,4,4,2.0060000000000002,6.6381368853052985e-6,2.1113535881538546e-4,,B
1+2+12+17+25,5,2,2,2.006,6.638136885305297e-6,2.1113535881538543e-4,,C
1+4+14+17,4,3,6,2.006,6.638136885305297e-6,2.1113535881538543e-4,,NA
4+6+15+17,4,1,2,2.006,6.638136885305297e-6,2.1113535881538543e-4,du2014_sadness_10,NA
4+5+23,3,3,4,2.003,6.628209462246516e-6,2.1081960304447512e-4,fig2002_anger_52,NA
4+7+24,3,1,1,1.971,6.522316949619512e-6,2.0745154148809808e-4,"du2014_anger_1
fig2002_anger_54",NA
1+4+18,3,3,5,1.968,6.512389526560731e-6,2.071357857171877e-4,,A
5+12+17,3,1,1,1.938,6.4131152959729145e-6,2.0397822800808423e-4,,B
4+5+24,3,2,4,1.9340000000000002,6.399878731894539e-6,2.0355722031353712e-4,fig2002_anger_55,NA
6+18+25,3,2,3,1.87,6.188093706640532e-6,1.9682109720078306e-4,,A
16+25+26,3,2,3,1.834,6.0689646299351525e-6,1.930320279498589e-4,,NA
4+18+25+26,4,5,5,1.7990000000000002,5.953144694249368e-6,1.893482106225715e-4,,A
1+2+7+18+25,5,2,2,1.77,5.857179604681145e-6,1.862959048371048e-4,,C
2+7+9+12+16,5,1,1,1.768,5.850561322641957e-6,1.8608540098983124e-4,,NA
1+2+12+24,4,3,3,1.766,5.843943040602769e-6,1.858748971425577e-4,,NA
11,1,1,1,1.734,5.738050527975766e-6,1.8250683558618063e-4,,NA
1+2+17+20,4,2,2,1.734,5.738050527975766e-6,1.8250683558618063e-4,,C
2+25+26,3,2,2,1.733,5.734741386956172e-6,1.8240158366254386e-4,,C
12+20,2,4,5,1.733,5.734741386956172e-6,1.8240158366254386e-4,,B
4+22,2,2,2,1.7000000000000002,5.625539733309575e-6,1.7892827018253007e-4,,NA
32,1,3,3,1.7,5.625539733309574e-6,1.7892827018253004e-4,,NA
4+17+25+32,4,1,1,1.7,5.625539733309574e-6,1.7892827018253004e-4,,NA
6+20,2,1,4,1.666,5.513028938643383e-6,1.7534970477887943e-4,,A
6+9+25,3,2,3,1.665,5.509719797623789e-6,1.7524445285524266e-4,,NA
4+7+12+25,4,1,2,1.6320000000000001,5.400518143977192e-6,1.7177113937522884e-4,,A
1+20+25+26,4,1,3,1.632,5.400518143977191e-6,1.7177113937522884e-4,,A
1+2+5+15+25+26,6,1,1,1.631,5.397209002957597e-6,1.7166588745159205e-4,,NA
12+18,2,6,8,1.627,5.383972438879222e-6,1.7124487975704494e-4,,B
9+20+25+26,4,1,1,1.598,5.288007349311e-6,1.6819257397157825e-4,,NA
6+12+17+25+32,5,2,2,1.597,5.2846982082914054e-6,1.6808732204794146e-4,,NA
1+6,2,3,3,1.597,5.2846982082914054e-6,1.6808732204794146e-4,,A
1+2+17+20+25+26,6,3,3,1.596,5.281389067271812e-6,1.6798207012430467e-4,,C
4+12+17+25+26,5,3,3,1.596,5.281389067271812e-6,1.6798207012430467e-4,,B
1+5+7+17,4,1,1,1.564,5.175496554644809e-6,1.6461400856792764e-4,,A
1+2+5+12+19+25+26,7,3,3,1.563,5.172187413625214e-6,1.6450875664429085e-4,,NA
1+2+5+12+20,5,1,1,1.563,5.172187413625214e-6,1.6450875664429085e-4,,C
22+25+26,3,4,8,1.562,5.168878272605621e-6,1.6440350472065408e-4,,NA
5+18+25+26,4,4,4,1.561,5.165569131586027e-6,1.642982527970173e-4,,A
4+6+20+25,4,3,3,1.528,5.056367477939429e-6,1.6082493931700347e-4,,A
2+18+25,3,2,5,1.528,5.056367477939429e-6,1.6082493931700347e-4,,C
1+18+25,3,4,4,1.528,5.056367477939429e-6,1.6082493931700347e-4,,A
1+2+4+25,4,3,4,1.527,5.053058336919835e-6,1.6071968739336668e-4,,C
7+18,2,2,4,1.527,5.053058336919835e-6,1.6071968739336668e-4,,A
12+15,2,3,5,1.495,4.9471658242928315e-6,1.5735162583698967e-4,,NA
